,Illustration,typologie,Agent,Activity
0,image_Page1_1.png,Maison de Cherchell,euromed MEDA,Extraction_D_image( Maison de Cherchell.pdf)
1,image_Page1_2.png,Maison de Cherchell,euromed MEDA,Extraction_D_image( Maison de Cherchell.pdf)
2,image_Page1_3.png,Maison de Cherchell,euromed MEDA,Extraction_D_image( Maison de Cherchell.pdf)
3,image_Page2_1.png,Maison de Cherchell,euromed MEDA,Extraction_D_image( Maison de Cherchell.pdf)
4,image_Page2_2.png,Maison de Cherchell,euromed MEDA,Extraction_D_image( Maison de Cherchell.pdf)
5,image_Page2_3.png,Maison de Cherchell,euromed MEDA,Extraction_D_image( Maison de Cherchell.pdf)
6,image_Page2_4.png,Maison de Cherchell,euromed MEDA,Extraction_D_image( Maison de Cherchell.pdf)
7,image_Page2_5.png,Maison de Cherchell,euromed MEDA,Extraction_D_image( Maison de Cherchell.pdf)
8,image_Page2_6.png,Maison de Cherchell,euromed MEDA,Extraction_D_image( Maison de Cherchell.pdf)
9,image_Page3_1.png,Maison de Cherchell,euromed MEDA,Extraction_D_image( Maison de Cherchell.pdf)
10,image_Page3_2.png,Maison de Cherchell,euromed MEDA,Extraction_D_image( Maison de Cherchell.pdf)
11,image_Page3_3.png,Maison de Cherchell,euromed MEDA,Extraction_D_image( Maison de Cherchell.pdf)
12,image_Page3_4.png,Maison de Cherchell,euromed MEDA,Extraction_D_image( Maison de Cherchell.pdf)
13,image_Page4_1.png,Maison de Cherchell,euromed MEDA,Extraction_D_image( Maison de Cherchell.pdf)
14,image_Page4_2.png,Maison de Cherchell,euromed MEDA,Extraction_D_image( Maison de Cherchell.pdf)
15,image_Page4_3.png,Maison de Cherchell,euromed MEDA,Extraction_D_image( Maison de Cherchell.pdf)
16,image_Page5_1.png,Maison de Cherchell,euromed MEDA,Extraction_D_image( Maison de Cherchell.pdf)
